icl,inst,block
u_hcm_ppu_u0.cluster_u7,u_hcm/ppu_u0/cluster_u7,cluster
u_hcm_ppu_u0.cluster_u8,u_hcm/ppu_u0/cluster_u8,cluster
u_hcm_ppu_u0.cluster_u9,u_hcm/ppu_u0/cluster_u9,cluster
u_hcm_ppu_u0.ppu_mf_out_group_u0,u_hcm/ppu_u0/ppu_mf_out_group_u0,ppu_mf_out_group
u_hcm_sa_u0_sa_asm_u0,u_hcm/sa_u0/sa_asm_u0,sa_asm
u_hcm_sa_u0_sa_mac_top_u0,u_hcm/sa_u0/sa_mac_top_u0,sa_mac_top
u_hcm_sa_u0_sa_mac_top_u1,u_hcm/sa_u0/sa_mac_top_u1,sa_mac_top
u_hcm_sa_u0_sa_xsw_u0,u_hcm/sa_u0/sa_xsw_u0,sa_xsw
u_hcm_se_u0_se_ex_u0_se_alg_top_u0_alg_altro_inst,u_hcm/se_u0/se_ex_u0/se_alg_top_u0/alg_altro_inst,alg_altro
u_hcm_se_u0_se_ex_u0_se_alg_top_u0_zgroup_u0,u_hcm/se_u0/se_ex_u0/se_alg_top_u0/zgroup_u0,zgroup_a0_v0
u_hcm_se_u0_se_ex_u0_se_alg_top_u0_zgroup_u1,u_hcm/se_u0/se_ex_u0/se_alg_top_u0/zgroup_u1,zgroup_a1_v0
u_hcm_se_u0_se_ex_u0_se_alg_top_u0_zgroup_u2,u_hcm/se_u0/se_ex_u0/se_alg_top_u0/zgroup_u2,zgroup_a0_v1
u_hcm_se_u0_se_ex_u0_se_alg_top_u0_zgroup_u3,u_hcm/se_u0/se_ex_u0/se_alg_top_u0/zgroup_u3,zgroup_a1_v1
u_hcm_se_u0_se_ex_u0_se_schd_other_u0,u_hcm/se_u0/se_ex_u0/se_schd_other_u0,se_schd_other
u_hcm_se_u0_se_ex_u0_se_smmu1_u0,u_hcm/se_u0/se_ex_u0/se_smmu1_u0,se_smmu1
u_hcm_se_u0_se_tcam_u0_etcam_egroup_u0,u_hcm/se_u0/se_tcam_u0/etcam_egroup_u0,etcam_egroup_v0
u_hcm_se_u0_se_tcam_u0_etcam_egroup_u1,u_hcm/se_u0/se_tcam_u0/etcam_egroup_u1,etcam_egroup_v1
u_hcm_se_u0_se_tcam_u0_etcam_egroup_u2,u_hcm/se_u0/se_tcam_u0/etcam_egroup_u2,etcam_egroup_h
u_hcm_se_u0_se_tcam_u0_etcam_egroup_u3,u_hcm/se_u0/se_tcam_u0/etcam_egroup_u3,etcam_egroup_h
u_hcm_se_u0_se_tcam_u0_se_tcam_other_u0,u_hcm/se_u0/se_tcam_u0/se_tcam_other_u0,se_tcam_other
u_hcm_se_u0_smmu0_u0,u_hcm/se_u0/smmu0_u0,smmu0
u_hcm_se_u0_stat_u0,u_hcm/se_u0/stat_u0,stat
u_hcm_tm_u0_crdt_u0,u_hcm/tm_u0/crdt_u0,crdt
u_hcm_tm_u0_qmu_top_u0,u_hcm/tm_u0/qmu_top_u0,qmu_top
u_hcm_tm_u0_qmu_top_u0.qmu_u0,u_hcm/tm_u0/qmu_top_u0/qmu_u0,qmu
u_hcm_tm_u0_qmu_top_u0.qmu_u1,u_hcm/tm_u0/qmu_top_u0/qmu_u1,qmu
u_hcm_tm_u0_shap_u0,u_hcm/tm_u0/shap_u0,shap
u_hcm_tm_u0_tm_others_u0,u_hcm/tm_u0/tm_others_u0,tm_others
