,,,,TC,PC,TT,SC,LG
framer,/scratch/carina_pddft/carina_ce/DFT/final/framer/Rev2.0/20191211_sajain_20191209az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,4.34,40,1477,2796,205
framer,/scratch/carina_pddft/carina_ce/DFT/final/framer/Rev2.0/20191211_sajain_20191209az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,99.62,40657,322263.1,1793300,304
framer,/scratch/carina_pddft/carina_ce/DFT/final/framer/Rev2.0/20191211_sajain_20191209az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,69.66,59772,97773.7,1793300,304
framer,/scratch/carina_pddft/carina_ce/DFT/final/framer/Rev2.0/20191211_sajain_20191209az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,80.02,19648,59305.9,1793300,304
hamming_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/hamming_dec_top/Rev2.1/20191211_sajain_20191210az_1_bisrclk/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,8.19,109,1453.4,27457,296
hamming_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/hamming_dec_top/Rev2.1/20191211_sajain_20191210az_1_bisrclk/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,98.92,28313,22531.3,467902,300
hamming_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/hamming_dec_top/Rev2.1/20191211_sajain_20191210az_1_bisrclk/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,65.57,123342,515130.1,467902,300
hamming_dec_top,/scratch/carina_pddft/carina_ce/DFT/final/hamming_dec_top/Rev2.1/20191211_sajain_20191210az_1_bisrclk/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,54.61,88335,394792.8,467902,300
hfrx,/scratch/carina_pddft/carina_ce/DFT/final/hfrx/Rev2.0/20191210_sajain_20191202az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,14.1,46,415.2,7135,265
hfrx,/scratch/carina_pddft/carina_ce/DFT/final/hfrx/Rev2.0/20191210_sajain_20191202az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,99.47,8998,4883.6,630642,304
hfrx,/scratch/carina_pddft/carina_ce/DFT/final/hfrx/Rev2.0/20191210_sajain_20191202az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,74.53,16962,6923,630642,304
hfrx,/scratch/carina_pddft/carina_ce/DFT/final/hfrx/Rev2.0/20191210_sajain_20191202az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,80.96,6061,5784.9,630642,304
hftx,/scratch/carina_pddft/carina_ce/DFT/final/hftx/Rev2.0/20191205_sajain_hftx_Rev2.0_20191204az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.7,12.05,37,335.1,7073,265
hftx,/scratch/carina_pddft/carina_ce/DFT/final/hftx/Rev2.0/20191205_sajain_hftx_Rev2.0_20191204az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.7,98.71,11681,12235.8,459621,304
hftx,/scratch/carina_pddft/carina_ce/DFT/final/hftx/Rev2.0/20191205_sajain_hftx_Rev2.0_20191204az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.7,43.82,18684,8548.9,459621,304
hftx,/scratch/carina_pddft/carina_ce/DFT/final/hftx/Rev2.0/20191205_sajain_hftx_Rev2.0_20191204az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.7,80.26,10707,19220,459621,304
hm11a_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11a_lm/Rev2.3/20191215_sajain_20191211az_0/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.9,11.41,72,244,4450,273
hm11a_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11a_lm/Rev2.3/20191215_sajain_20191211az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.9,97.41,4085,1246.6,240485,299
hm11a_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11a_lm/Rev2.3/20191215_sajain_20191211az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.9,33.82,16278,6696,240485,299
hm11a_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11a_lm/Rev2.3/20191215_sajain_20191211az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.9,79.72,31902,12758.8,240485,299
hm11b_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11b_lm/Rev2.1/20191218_sajain_20191211az_1/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.9,9.91,45,174.4,2680,273
hm11b_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11b_lm/Rev2.1/20191218_sajain_20191211az_1/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.9,97.23,12154,765,119266,298
hm11b_lm,/scratch/carina_pddft/carina_ce/DFT/final/hm11b_lm/Rev2.1/20191218_sajain_20191211az_1/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.9,33.65,17371,9326.9,119266,298
